customer_id,age,state,income,source_system,signup_date
CUS-00093,38,TX,110597.2,A,2024-07-05
CUS-00094,41,NY ,44412.27,B,2025-04-30
CUS-00095,33,FL,51289.96,C,2024-01-24
CUS-00096,58,NY ,66244.35,A,2023-12-15
CUS-00097,51,FL,24834.16,A,2024-02-21
CUS-00098,42,WA,23336.28,B,2023-04-06
CUS-00099,31,ny,30352.61,A,2024-06-27
CUS-00100,59,IL,20725.31,A,2025-01-08
CUS-00101,46,CA,226706.26,A,2025-01-26
CUS-00102,37,FL,75864.02,B,2023-11-06
CUS-00103,34,TX,182732.41,A,2023-05-10
CUS-00104,40,NY ,,B,
CUS-00105,31,NY,55703.59,A,2023-04-27
CUS-00106,39,NY,62359.13,C,2025-08-29
CUS-00107,50,ny,48043.24,A,2023-08-20
CUS-00108,22,FL,235148.53,B,2023-11-09
CUS-00109,74,CA,131233.51,B,2023-08-05
CUS-00110,51,CA,71661.61,A,2024-12-06
CUS-00111,41,FL,102382.63,B,2024-12-04
CUS-00112,41,WA,312021.36,A,2024-10-25
CUS-00113,42,NY,87451.28,A,2025-02-05
CUS-00114,55,NY ,28664.57,C,2025-08-23
CUS-00115,29,NY,37045.46,A,2024-09-10
CUS-00116,71,NY,210486.24,A,2023-10-03
CUS-00117,44,NY ,25604.59,B,2024-08-22
CUS-00118,56,NY ,3843.64,A,2024-11-17
CUS-00119,50,NY ,122529.87,A,2025-04-13
CUS-00120,48,FL,54341.0,B,2024-02-18
CUS-00121,43,NY ,46867.89,C,2024-01-06
CUS-00122,29,NY,,B,2025-08-07
CUS-00123,43,NY ,202455.79,A,2023-06-12
CUS-00124,40,NY,750368.19,A,2024-04-17
CUS-00125,65,TX,37766.47,C,2025-05-04
CUS-00126,28,NY ,,B,2024-01-28
CUS-00127,26,TX,17735.4,A,2025-03-19
CUS-00128,31,FL,233658.56,C,2023-11-02
CUS-00129,26,TX,23334.51,C,2023-12-07
CUS-00130,29,IL,35884.22,B,2023-09-02
CUS-00131,45,NY,,B,2025-07-24
CUS-00132,65,ny,73247.19,C,2025-09-14
CUS-00133,25,IL,108643.65,A,2024-04-12
CUS-00134,33,TX,34806.08,A,2025-09-19
CUS-00135,37,ny,166960.24,A,2024-01-25
CUS-00136,23,NY ,72063.66,C,2025-08-01
CUS-00137,44,WA,31651.01,A,2025-06-12
CUS-00138,45,TX,63874.99,A,2023-10-28
CUS-00139,41,ny,12957.07,A,2023-06-24
CUS-00140,40,ny,56025.91,A,2024-04-17
CUS-00141,72,NY ,,B,
CUS-00142,59,TX,19557.3,C,2024-08-24
CUS-00143,62,NY ,33525.67,A,2024-01-29
CUS-00144,53,IL,92885.14,C,2023-10-30
CUS-00145,49,NY,19466.56,A,2025-02-01
CUS-00146,61,FL,19445.18,C,2025-04-01
CUS-00147,31,TX,16207.69,A,2024-10-23
CUS-00148,44,IL,37589.12,A,2023-10-30
CUS-00149,35,IL,69978.74,A,2025-04-30
CUS-00150,70,FL,13399.62,A,2023-04-28
CUS-00151,62,WA,109257.94,B,2024-02-11
CUS-00152,47,ny,,C,2024-04-10
CUS-00153,31,FL,146611.42,A,2023-08-28
CUS-00154,18,IL,52464.93,B,2025-07-20
CUS-00155,48,ny,,B,2023-02-08
CUS-00156,37,TX,50110.99,A,2025-08-30
CUS-00157,56,TX,34049.81,B,2025-05-03
CUS-00158,18,NY,200778.11,B,2024-03-31
CUS-00159,47,IL,33566.4,C,2024-01-03
CUS-00160,37,NY ,745005.04,A,2024-10-16
CUS-00161,66,WA,62754.22,B,2023-07-30
CUS-00162,44,WA,24047.99,A,2025-03-03
CUS-00163,44,TX,46803.04,A,2025-03-28
CUS-00164,41,NY,39995.71,A,2024-08-25
CUS-00165,45,ny,66582.92,A,2024-05-02
CUS-00166,32,NY ,143514.71,A,2023-02-14
CUS-00167,59,FL,21261.24,B,2023-03-04
CUS-00168,51,CA,19803.84,C,2023-03-17
CUS-00169,40,TX,83698.12,C,2024-07-15
CUS-00170,30,FL,128500.23,B,2023-04-12
CUS-00171,57,WA,134376.88,B,2024-02-28
CUS-00172,30,CA,67082.07,A,2023-09-19
CUS-00173,60,CA,343328.32,A,2024-03-18
CUS-00174,41,NY,7228.29,A,2023-12-04
CUS-00175,21,ny,152531.97,B,2025-09-18
CUS-00176,41,WA,77169.42,A,2025-05-17
CUS-00177,50,FL,21375.74,A,2025-05-15
CUS-00178,45,NY,11437.9,B,2024-12-11
CUS-00179,52,FL,215693.08,A,2023-07-05
CUS-00180,31,TX,31884.79,C,2023-04-04
CUS-00181,46,IL,,B,2023-11-29
CUS-00182,56,CA,131103.53,B,2023-03-25
CUS-00183,61,ny,22387.01,A,2023-04-27
CUS-00184,47,CA,28949.87,A,2023-02-16
CUS-00185,29,NY,,A,2023-08-05
CUS-00186,44,CA,,B,2023-06-29
CUS-00187,32,WA,126918.55,A,2025-06-01
CUS-00188,23,ny,,B,2025-06-01
CUS-00189,31,ny,77612.82,A,2025-09-16
CUS-00190,49,IL,12309.87,A,2023-09-07
CUS-00191,39,FL,62870.35,A,2025-03-08
CUS-00192,37,WA,47381.72,A,2025-01-14
CUS-00193,39,CA,30636.5,C,2024-09-08
CUS-00194,43,NY ,32372.29,A,2024-08-16
CUS-00195,58,IL,26343.25,A,2023-06-04
CUS-00196,25,FL,65371.44,A,2023-03-17
CUS-00197,39,FL,54553.42,A,2025-05-25
CUS-00198,32,NY,27543.29,A,2024-10-29
CUS-00199,31,NY,22942.44,A,2025-05-07
CUS-00200,40,TX,,A,2024-03-25
CUS-00201,28,TX,121099.9,B,2024-11-26
CUS-00202,37,IL,,B,2024-11-25
CUS-00203,43,TX,381079.79,A,2023-05-25
CUS-00204,36,ny,203925.09,C,2023-03-28
CUS-00205,27,TX,180071.28,A,2025-01-26
CUS-00206,48,ny,38439.67,C,
CUS-00207,54,NY ,36680.32,A,2023-06-08
CUS-00208,46,NY,32793.39,A,2024-09-24
CUS-00209,37,TX,75886.17,A,
CUS-00210,36,FL,3214.04,A,2023-08-28
CUS-00211,34,NY ,290019.05,B,2024-11-25
CUS-00212,57,FL,43736.28,C,2024-03-04
CUS-00213,53,TX,8749.47,C,2024-05-07
CUS-00214,37,CA,41599.32,C,2023-10-07
CUS-00215,19,CA,41525.76,A,2024-04-06
CUS-00216,55,ny,30947.57,C,2023-03-25
CUS-00217,73,IL,75175.35,A,2023-10-21
CUS-00218,19,NY ,68942.27,C,
CUS-00219,42,ny,359235.0,A,2023-11-05
CUS-00220,44,NY ,218561.77,A,2024-05-26
CUS-00221,59,WA,55841.86,B,2023-01-02
CUS-00222,44,CA,145523.2,B,2025-09-03
CUS-00223,18,NY,42438.66,B,2024-10-12
CUS-00224,28,IL,170173.92,A,2025-01-20
CUS-00225,57,IL,,B,2023-12-13
CUS-00226,53,TX,15092.5,C,2023-07-06
CUS-00227,18,CA,64238.3,C,2025-03-21
CUS-00228,42,NY,33188.87,A,2024-04-29
CUS-00229,55,WA,60649.87,A,2023-10-07
CUS-00230,40,IL,19643.83,A,2023-12-14
CUS-00231,51,NY ,13888.35,C,2023-03-26
CUS-00232,60,CA,95045.86,B,2023-04-16
CUS-00233,43,FL,20243.73,A,2023-12-26
CUS-00234,35,IL,12378.87,A,2023-02-28
CUS-00235,50,ny,80803.8,A,2023-05-27
CUS-00236,24,NY ,,C,2025-03-08
CUS-00237,22,NY,346118.9,B,2025-08-29
CUS-00238,38,TX,56664.44,A,2024-10-27
CUS-00239,46,TX,46208.78,A,2024-07-29
CUS-00240,46,WA,9716.96,A,2025-07-27
CUS-00241,45,CA,84083.97,C,2024-03-31
CUS-00242,56,IL,3815.69,C,2024-07-17
CUS-00243,63,TX,13445.84,B,2023-05-05
CUS-00244,45,NY ,,C,2024-01-13
CUS-00245,34,TX,106293.99,B,2025-01-06
CUS-00246,49,ny,58850.97,B,2024-10-19
CUS-00247,38,NY ,14690.12,A,2024-10-17
CUS-00248,65,TX,66184.28,B,2023-06-06
CUS-00249,41,TX,38384.69,A,2025-07-05
CUS-00250,31,CA,20370.1,A,2023-11-07
CUS-00251,31,CA,166779.89,B,2024-11-05
CUS-00252,70,IL,8049.96,B,
CUS-00253,34,FL,55046.37,A,2024-05-24
CUS-00254,30,FL,38062.48,C,2024-02-20
CUS-00255,52,CA,88806.61,A,2023-12-15
CUS-00256,54,IL,13124.04,B,2024-02-13
CUS-00257,78,IL,90548.77,A,2024-04-05
CUS-00258,49,CA,353534.71,A,2025-09-12
CUS-00259,34,TX,227463.99,C,2023-06-13
CUS-00260,35,NY ,45172.11,B,2024-06-01
CUS-00261,46,WA,,B,2023-02-21
CUS-00262,23,NY ,15341.01,A,
CUS-00263,50,IL,90551.56,A,2024-02-15
CUS-00264,32,FL,33612.59,A,2025-02-21
CUS-00265,51,CA,,B,2024-01-18
CUS-00266,27,IL,33213.83,B,2024-02-16
CUS-00267,48,NY,,B,2025-04-03
CUS-00268,26,TX,71878.3,B,2023-06-16
CUS-00269,24,IL,12714.37,A,2024-05-16
CUS-00270,36,IL,307889.13,B,2024-03-02
CUS-00271,49,NY,9743.44,B,2024-11-02
CUS-00272,46,NY,12581.89,B,2024-10-06
CUS-00273,45,WA,,B,2023-04-23
CUS-00274,30,NY ,124677.54,A,2025-03-04
CUS-00275,59,NY ,47407.5,B,2023-08-01
CUS-00276,38,NY ,38081.76,B,2023-12-17
CUS-00277,50,FL,64883.35,B,2023-08-19
CUS-00278,52,FL,31274.29,C,2024-05-06
CUS-00279,24,FL,15111.66,A,2024-02-09
CUS-00280,36,TX,33215.17,C,2024-03-28
CUS-00281,63,NY ,,B,2023-10-05
CUS-00282,41,WA,28616.14,C,2024-06-27
CUS-00283,44,IL,79197.16,A,2025-02-28
CUS-00284,78,TX,25821.1,A,2025-06-18
CUS-00285,30,FL,11729.8,B,2025-07-18
CUS-00286,38,NY,26266.13,B,2025-06-22
CUS-00287,46,ny,43685.2,C,2025-02-05
CUS-00288,67,NY,18715.72,C,2025-08-08
CUS-00289,35,NY ,1069269.79,C,2024-05-31
CUS-00290,45,TX,79265.69,B,2025-01-05
CUS-00291,41,WA,7702.74,A,2025-07-07
CUS-00292,33,ny,73920.32,A,2023-05-24
CUS-00293,44,ny,,B,2025-09-03
CUS-00294,42,NY,30038.16,A,2024-04-21
CUS-00295,50,ny,342781.04,A,2024-12-07
CUS-00296,30,FL,79252.79,A,2024-04-10
CUS-00297,75,IL,15860.7,B,2024-11-11
CUS-00298,39,WA,10691.28,C,2024-06-24
CUS-00299,30,CA,220213.13,B,2023-07-27
CUS-00300,59,TX,,B,2024-03-28
CUS-00301,48,CA,186252.33,A,2023-02-26
CUS-00302,29,NY,44513.71,B,2023-11-12
CUS-00303,24,WA,158875.8,B,2023-12-19
CUS-00304,39,CA,44592.49,B,2023-10-21
CUS-00305,46,ny,8296.3,A,2024-04-04
CUS-00306,54,TX,27904.86,C,2023-07-02
CUS-00307,38,WA,68951.67,C,2023-11-02
CUS-00308,40,ny,16607.57,B,2023-12-21
CUS-00309,53,CA,,A,2024-09-21
CUS-00310,68,NY,,B,2024-08-31
CUS-00311,26,NY,19080.98,A,
CUS-00312,22,NY,31729.59,A,2023-08-28
CUS-00313,42,IL,19652.55,C,2024-11-07
CUS-00314,34,TX,75760.67,B,2024-05-22
CUS-00315,33,ny,171115.35,A,2024-03-02
CUS-00316,40,NY ,92664.6,A,2025-05-28
CUS-00317,53,ny,5495.21,B,2023-05-18
CUS-00318,43,CA,125455.5,A,2023-04-05
CUS-00319,45,ny,36317.93,B,2025-06-13
CUS-00320,49,WA,13148.72,A,2023-12-07
CUS-00321,51,WA,33122.42,A,2025-02-11
CUS-00322,44,WA,204520.49,B,2023-11-26
CUS-00323,31,IL,,B,2025-06-22
CUS-00324,54,CA,36074.21,B,2023-07-28
CUS-00325,21,ny,,A,2025-01-29
CUS-00326,41,ny,566778.27,A,2023-08-24
CUS-00327,51,IL,16823.68,A,2025-09-16
CUS-00328,42,IL,,B,2024-05-15
CUS-00329,29,NY,61027.81,A,2023-02-19
CUS-00330,39,ny,,B,2023-03-11
CUS-00331,58,IL,,B,2025-08-14
CUS-00332,44,NY ,177724.27,B,2023-01-18
CUS-00333,45,FL,36924.3,B,2024-03-16
CUS-00334,58,TX,80045.53,C,2024-06-23
CUS-00335,47,IL,21827.46,A,2024-08-01
CUS-00336,51,WA,60041.37,A,2024-10-27
CUS-00337,38,CA,20836.58,B,2024-12-20
CUS-00338,53,NY ,27508.45,A,2025-09-24
CUS-00339,34,NY,181994.98,A,2023-10-05
CUS-00340,31,CA,38205.71,A,2023-07-03
CUS-00341,59,IL,,C,2023-05-28
CUS-00342,40,CA,,B,2024-08-03
CUS-00343,30,ny,18034.45,C,2025-03-20
CUS-00344,40,CA,69169.99,C,2025-05-08
CUS-00345,42,ny,24650.96,A,2024-04-06
CUS-00346,59,IL,30417.37,B,2024-01-25
CUS-00347,49,FL,44364.54,A,2024-12-29
CUS-00348,38,TX,40024.17,B,
CUS-00349,49,IL,70217.13,A,2024-07-24
CUS-00350,46,ny,,B,2024-07-21
CUS-00351,34,ny,,A,2025-03-08
CUS-00352,36,WA,80625.95,A,2023-11-05
CUS-00353,54,TX,17913.57,A,2023-03-20
CUS-00354,48,WA,11458.08,A,2023-05-19
CUS-00355,43,ny,12327.14,A,2023-12-09
CUS-00356,27,TX,13491.95,A,2023-07-01
CUS-00357,31,IL,32413.82,C,2023-09-06
CUS-00358,29,FL,32733.32,A,2024-08-29
CUS-00359,47,TX,4150.58,C,2024-12-26
CUS-00360,33,FL,311148.57,A,2024-11-20
CUS-00361,54,FL,,B,2025-01-02
CUS-00362,33,NY ,109152.7,A,2025-08-03
CUS-00363,37,IL,14357.34,C,2024-08-31
CUS-00364,62,IL,,B,2024-07-30
CUS-00365,54,ny,19561.49,C,2023-04-11
CUS-00366,63,WA,12087.75,A,2024-05-27
CUS-00367,57,NY,25198.71,A,2025-05-01
CUS-00368,71,TX,17763.28,C,2023-12-23
CUS-00369,62,NY ,33717.63,B,
CUS-00370,44,NY,19067.62,B,2025-01-28
CUS-00371,27,TX,28585.99,A,2025-03-27
CUS-00372,55,TX,27459.16,A,2025-06-23
CUS-00373,32,ny,40135.17,A,2025-04-08
CUS-00374,35,CA,18485.5,B,2023-04-27
CUS-00375,40,NY ,19763.63,A,2024-08-24
CUS-00376,30,IL,11790.78,A,2023-11-01
CUS-00377,27,CA,36324.42,C,2024-01-18
CUS-00378,52,ny,95715.19,B,2024-10-12
CUS-00379,53,TX,27553.35,B,2024-04-06
CUS-00380,43,IL,24621.88,B,2024-07-29
CUS-00381,44,NY ,9412.38,B,2023-06-21
CUS-00382,44,NY,51526.2,A,2023-10-23
CUS-00383,46,NY ,58301.38,A,2024-08-09
CUS-00384,28,IL,52871.31,A,2023-08-12
CUS-00385,21,CA,31239.53,C,2023-02-03
CUS-00386,35,IL,295426.87,A,2025-04-11
CUS-00387,57,IL,20864.28,A,2025-03-14
CUS-00388,34,WA,15199.56,A,2023-06-22
CUS-00389,36,FL,39119.28,A,2024-11-26
CUS-00390,69,TX,82719.19,C,2025-06-06
CUS-00391,18,TX,,B,2025-04-28
CUS-00392,50,TX,20483.04,A,2024-02-29
CUS-00393,64,CA,115096.41,A,2024-12-12
CUS-00394,21,IL,322992.38,C,2025-05-17
CUS-00395,41,IL,15450.91,B,2024-02-12
CUS-00396,35,FL,66833.42,A,2024-07-14
CUS-00397,29,IL,30073.55,B,2023-02-17
CUS-00398,46,CA,15699.96,A,2024-04-12
CUS-00399,51,TX,40781.47,A,2025-06-14
CUS-00400,40,FL,222703.18,C,2024-10-26
CUS-00401,34,WA,84418.43,A,2023-04-08
CUS-00402,36,WA,53175.94,A,2023-01-09
CUS-00403,59,ny,2825.57,B,2023-08-23
CUS-00404,42,IL,30194.87,A,2024-01-27
CUS-00405,43,TX,,B,2024-09-16
CUS-00406,36,NY ,73218.96,B,2024-09-22
CUS-00407,64,WA,,B,2025-02-09
CUS-00408,41,ny,18590.6,A,2023-10-11
CUS-00409,43,FL,203467.01,B,2025-05-18
CUS-00410,49,WA,29705.58,C,2023-02-25
CUS-00411,46,ny,,B,2024-08-31
CUS-00412,34,NY,81732.28,A,2024-08-05
CUS-00413,40,TX,275929.28,A,
CUS-00414,37,FL,470754.66,A,2023-10-21
CUS-00415,28,ny,14361.98,B,2023-06-06
CUS-00416,54,FL,595976.06,A,2023-12-01
CUS-00417,26,CA,4436.45,A,2023-09-08
CUS-00418,55,ny,37461.67,A,2024-11-04
CUS-00419,40,CA,,B,2023-01-12
CUS-00420,58,FL,33802.76,A,2025-03-10
CUS-00421,42,NY,29048.03,C,2024-06-20
CUS-00422,39,CA,12857.55,A,2023-02-26
CUS-00423,32,FL,32526.97,B,2024-11-21
CUS-00424,45,NY,169490.43,B,
CUS-00425,24,TX,291036.02,A,2024-07-20
CUS-00426,39,WA,11000.42,C,2025-01-07
CUS-00427,51,CA,14557.41,A,2023-07-03
CUS-00428,39,ny,47483.62,A,2023-10-17
CUS-00429,41,NY ,,B,2024-07-31
CUS-00430,48,WA,17556.56,B,2023-07-20
CUS-00431,35,WA,,B,2023-01-25
CUS-00432,29,NY,255559.82,A,
CUS-00433,55,CA,,B,2024-03-05
CUS-00434,26,NY,83488.81,B,
CUS-00435,51,ny,6768.97,A,2023-04-08
CUS-00436,68,ny,,B,2024-03-21
CUS-00437,50,IL,92810.82,B,2025-05-01
CUS-00438,39,CA,104950.44,B,2025-02-27
CUS-00439,47,NY ,,B,2024-01-02
CUS-00440,49,WA,6634.15,C,2025-04-06
CUS-00441,49,NY,,B,2023-06-01
CUS-00442,43,NY,131208.36,A,2023-06-28
CUS-00443,31,WA,94009.04,A,2025-03-23
CUS-00444,67,WA,56866.03,A,2024-01-17
CUS-00445,48,FL,41432.81,B,2023-03-08
CUS-00446,29,CA,10747.11,A,2023-12-06
CUS-00447,47,ny,43473.74,A,2023-01-31
CUS-00448,32,TX,75842.42,A,2023-06-02
CUS-00449,36,FL,28655.72,A,2024-05-05
CUS-00450,42,WA,85867.53,A,2023-09-13
CUS-00451,50,ny,8355.05,B,2024-07-11
CUS-00452,34,IL,151166.19,B,2023-11-23
CUS-00453,66,FL,,B,2024-06-26
CUS-00454,47,WA,169682.93,A,2025-04-15
CUS-00455,54,NY,180162.14,B,2024-02-02
CUS-00456,38,TX,9999.15,A,2025-07-24
CUS-00457,30,IL,14118.28,B,2025-04-09
CUS-00458,36,NY ,55922.01,C,2024-09-08
CUS-00459,46,NY ,,A,2023-07-26
CUS-00460,39,IL,85175.68,C,2024-12-22
CUS-00461,47,IL,6575.07,C,2025-08-22
CUS-00462,33,IL,,B,2025-08-29
CUS-00463,37,NY ,174084.63,A,2025-08-09
CUS-00464,73,IL,,B,2023-06-29
CUS-00465,42,TX,20483.06,A,2025-08-29
CUS-00466,56,NY,,B,2025-04-08
CUS-00467,25,WA,130050.76,C,2023-03-21
CUS-00468,52,IL,68880.01,A,2024-10-16
CUS-00469,39,IL,45436.44,B,2023-09-20
CUS-00470,53,NY,,B,2024-03-05
CUS-00471,54,ny,21763.65,C,2025-04-28
CUS-00472,55,WA,,B,2025-05-16
CUS-00473,29,NY,72652.26,A,2024-01-20
CUS-00474,41,CA,71133.36,A,2024-09-20
CUS-00475,40,NY,21652.67,C,2023-02-24
CUS-00476,28,WA,15938.16,A,2024-07-07
CUS-00477,52,FL,116333.34,A,2024-05-17
CUS-00478,50,IL,,A,2025-04-23
CUS-00479,36,NY,,B,2023-03-25
CUS-00480,38,CA,,B,2024-05-15
CUS-00481,41,ny,219266.84,C,2024-01-14
CUS-00482,56,FL,67018.1,A,2023-03-05
CUS-00483,41,IL,31350.2,A,2025-02-13
CUS-00484,19,ny,25205.31,B,2025-08-16
CUS-00485,54,CA,21842.3,B,2023-02-05
CUS-00486,62,TX,,B,2023-06-27
CUS-00487,29,TX,59626.19,C,2024-11-30
CUS-00488,37,TX,43724.14,A,2023-03-10
CUS-00489,72,ny,107967.58,A,2023-01-13
CUS-00490,31,ny,,B,2024-08-03
CUS-00491,45,CA,4086.01,B,2023-10-20
CUS-00492,62,FL,11240.59,C,2024-09-15
CUS-00493,49,ny,,B,2023-12-06
CUS-00494,55,NY,350669.29,B,
CUS-00495,30,FL,153777.96,C,2025-09-22
CUS-00496,22,TX,45642.83,C,2025-01-16
CUS-00497,21,CA,78443.56,A,2025-02-16
CUS-00498,67,IL,26502.11,B,2024-06-02
CUS-00499,42,NY,80625.67,A,2023-02-03
CUS-00500,37,IL,36551.85,B,2024-10-12
CUS-00501,67,NY,15701.14,C,2024-04-30
CUS-00502,44,IL,74991.64,B,2023-04-03
CUS-00503,34,ny,,A,2025-03-09
CUS-00504,55,WA,14980.66,C,2023-01-21
CUS-00505,62,NY ,35385.57,C,2024-09-07
CUS-00506,46,FL,202438.67,C,2023-10-09
CUS-00507,34,FL,96873.89,A,2024-06-17
CUS-00508,38,IL,65759.7,C,2023-10-17
CUS-00509,47,FL,62291.92,A,2023-09-25
CUS-00510,61,WA,,B,2025-07-10
CUS-00511,37,ny,24163.36,A,2023-10-30
CUS-00512,24,ny,43667.4,A,2025-04-15
CUS-00513,26,WA,22690.02,A,2024-01-03
CUS-00514,32,TX,78729.3,B,2023-05-12
CUS-00515,37,TX,168725.61,B,2023-08-17
CUS-00516,32,FL,105557.99,B,2024-04-19
CUS-00517,35,NY ,19556.23,C,2024-04-28
CUS-00518,30,CA,25574.41,C,2025-05-24
CUS-00519,50,WA,447759.6,A,2023-05-27
CUS-00520,41,TX,11178.88,A,2024-10-11
CUS-00521,44,NY ,51268.89,A,2024-05-16
CUS-00522,35,CA,,B,2024-03-15
CUS-00523,55,NY,39216.78,A,2025-08-30
CUS-00524,32,WA,,A,
CUS-00525,65,WA,36017.84,B,2024-08-25
CUS-00526,49,CA,37811.57,A,2024-09-02
CUS-00527,53,ny,128228.29,B,2024-01-03
CUS-00528,43,TX,124159.13,B,2025-01-14
CUS-00529,37,WA,28564.51,C,2024-10-28
CUS-00530,39,ny,46759.07,B,2023-02-19
CUS-00531,59,NY,,B,2024-03-30
CUS-00532,29,TX,34592.09,A,2023-01-10
CUS-00533,33,FL,13157.56,A,2024-03-04
CUS-00534,59,CA,136538.72,C,2024-05-24
CUS-00535,46,WA,106909.95,A,2023-06-14
CUS-00536,34,NY ,49831.81,A,
CUS-00537,64,NY ,,B,2024-06-07
CUS-00538,29,CA,23986.6,A,2023-09-28
CUS-00539,32,CA,207754.2,B,2024-11-24
CUS-00540,25,CA,49840.47,A,2024-11-10
CUS-00541,39,IL,12663.18,B,2023-04-06
CUS-00542,50,IL,5525.62,A,2024-01-30
CUS-00543,62,NY ,16107.44,B,2024-12-13
CUS-00544,24,TX,,B,2024-05-09
CUS-00545,39,ny,26957.72,C,2025-06-02
CUS-00546,61,TX,4437.79,B,2025-06-27
CUS-00547,53,IL,,A,2024-06-21
CUS-00548,46,WA,30930.01,B,2024-12-18
CUS-00549,33,ny,49446.56,B,2024-01-30
CUS-00550,55,NY,,A,2024-06-01
CUS-00551,59,CA,8961.68,C,2023-12-05
CUS-00552,52,ny,61813.81,C,2024-04-15
